card,effect
Dragunity Pilum,"When this card is Normal Summoned, you can Special Summon 1 Winged Beast-Type ""Dragunity"" monster from your hand and equip this card to it as an Equip Card. If this card is equipped as an Equip Card to a monster, the equipped monster can attack your opponent directly. If it attacks using this effect, the Battle Damage it inflicts to your opponent is halved."
Dragunity Primus Pilus,"When this card is Normal or Special Summoned, you can select 1 face-up Winged Beast-Type ""Dragunity"" monster you control. Equip it with 1 Level 3 or lower Dragon-Type ""Dragunity"" monster from your Deck."
Dragunity Senatus,"You can discard 1 ""Dragunity"" card; equip 1 ""Dragunity"" Tuner from your Deck to this card, also you cannot Special Summon monsters from the Extra Deck for the rest of this turn, except Dragon monsters. You can only use this effect of ""Dragunity Senatus"" once per turn. If a ""Dragunity"" card(s) you control would be destroyed by battle or card effect, you can destroy 1 ""Dragunity"" card equipped to this card instead."
Dragunity Tribus,"When this card is Normal or Special Summoned, you can send 1 Level 3 or lower Dragon-Type monster from your Deck to the Graveyard."
Draining Shield,"When an opponent's monster declares an attack: Target the attacking monster; negate that attack, and if you do, gain LP equal to that target's ATK."
Dramatic Rescue,"Activate only when a card is activated that targets an ""Amazoness"" monster. Return the targeted monster to its owner's hand and Special Summon 1 other monster from your hand."
Drastic Drop Off,"When your opponent adds a card(s) from their Deck to their hand, including drawing: They must discard 1 of those cards."
Draw Discharge,"When your opponent draws a card(s) because of their card effect: Reveal the card(s) they drew, and if there are Monster Cards among them, inflict damage to your opponent equal to the total ATK of those monsters, and if you do, banish all revealed cards. You can only activate 1 ""Draw Discharge"" per turn."
Draw Muscle,"Target 1 Defense Position monster you control with 1000 or less DEF; draw 1 card, also that monster cannot be destroyed by battle this turn. You can only activate 1 ""Draw Muscle"" per turn."
Draw of Fate,"If your LP is lower than your opponent's, and they control a monster with the highest ATK on the field (even if tied): Reveal 3 cards with different names from your Deck, shuffle them, and place them on top of your Deck, then draw 1 card. For the rest of this turn after this card resolves, you cannot Set Spells/Traps, also you can only activate 1 card or effect. You can only activate 1 ""Draw of Fate"" per turn. "
Dread Dragon,"When this card is destroyed by battle and sent to the Graveyard, you can add 1 Level 3 or lower Dragon-Type monster from your Deck to your hand."
Dreadscythe Harvester,You can Tribute 1 Insect-Type monster to have this card gain 500 ATK until the end of the turn.
Dream Clown,"When this card is changed from Attack Position to Defense Position, destroy 1 monster on your opponent's side of the field."
Dream Mirror Fantasy,"If you control a “Dream Mirror” monster: Target 1 each of your banished “Dream Mirror of Joy” and “Dream Mirror of Terror”; shuffle them into the Deck, and if you do, banish 1 card on the field. If a “Dream Mirror” card(s) you control would be destroyed by battle or card effect, you can banish this card from your GY instead. You can only activate 1 “Dream Mirror Fantasy” per turn."
Dream Mirror Hypnagogia,"Choose 1 ""Dream Mirror of Joy"" and 1 ""Dream Mirror of Terror"" from your hand and/or Deck, and place 1 in your Field Zone and the other in your opponent's Field Zone, face-up. You can only activate 1 ""Dream Mirror Hypnagogia"" per turn."
Dream Mirror of Chaos,"Fusion Summon 1 ""Dream Mirror"" Fusion Monster from your Extra Deck, using monsters you control as Fusion Material. If ""Dream Mirror of Joy"" is in a Field Zone, you can also use monsters in your hand as Fusion Material. If ""Dream Mirror of Terror"" is in a Field Zone, you can also banish monsters from your GY as Fusion Material. You can only activate 1 ""Dream Mirror of Chaos"" per turn."
Dream Mirror of Joy,"During the End Phase: You can banish this card; activate 1 “Dream Mirror of Terror” directly from your hand or Deck. You can only use this effect of “Dream Mirror of Joy” once per turn. “Dream Mirror” monsters you control cannot be targeted by your opponent’s card effects, or their monsters’ attacks, except your “Dream Mirror” monster(s) with the highest Level. This effect is only applied while you control a LIGHT “Dream Mirror” monster."
Dream Mirror of Terror,"During the End Phase: You can banish this card; activate 1 “Dream Mirror of Joy” directly from your hand or Deck. You can only use this effect of “Dream Mirror of Terror” once per turn. Each time your opponent Special Summons a monster(s), inflict 300 damage to your opponent. This effect is only applied while you control a DARK “Dream Mirror” monster."
Dream Mirror Oneiromancy,"Activate 1 of these effects.
● When your opponent activates a Spell/Trap Card while a ""Dream Mirror of Joy"" is in a Field Zone: Negate the activation, and if you do, destroy that card.
● When your opponent would Special Summon monster(s) while a ""Dream Mirror of Terror"" is in a Field Zone: Negate the Summon, and if you do, destroy that monster.
You can only activate 1 ""Dream Mirror Oneiromancy"" per turn."
Dream Mirror Phantasms,"When this card is activated: You can add 1 ""Dream Mirror"" monster from your Deck to your hand. If ""Dream Mirror of Joy"" is in a Field Zone, all monsters you control gain 500 ATK/DEF. If ""Dream Mirror of Terror"" is in a Field Zone, all monsters your opponent controls lose 500 ATK/DEF. You can only activate 1 ""Dream Mirror Phantasms"" per turn."
Dreamland,"This card gains these effects depending on the Extra Deck monster card types (Fusion, Synchro, or Xyz) of monsters on the field.
● Fusion: Once per turn, if a monster(s) is sent from your hand or field to the Graveyard by a card effect (except during the Damage Step): You can draw 1 card.
● Synchro: When a monster(s) is Normal or Special Summoned (except during the Damage Step): You can increase the Level of that monster(s) by 1 (even if this card leaves the field).
● Xyz: Once per turn, during your End Phase: Destroy the face-up monster(s) on the field with the highest Level (all, if tied).
You can only activate 1 ""Dreamland"" per turn."
Dreamsprite,"When attacked by your opponent's monster, select another 1 of your Monster Cards and designate it as the attack's target, then calculate damage."
"Dreiath III, the True Dracocavalry General","To Tribute Summon this card face-up, you can Tribute a Continuous Spell/Trap Card you control, instead of a monster. Your opponent cannot target face-up ""True Draco"" or ""True King"" monsters on the field with card effects, except this one, also they cannot be destroyed by your opponent's card effects. If this face-up Tribute Summoned monster leaves the field: You can Special Summon 1 ""True Draco"" or ""True King"" monster from your Deck in Defense Position."
Dribrave,"Once per turn, when your Cyberse monster declares an attack: You can discard 1 monster; that attacking monster gains 600 ATK until the end of this turn. "
Dried Winds,"If you gain LP: Target 1 face-up monster your opponent controls; destroy it. If you control an ""Aroma"" monster and your LP is at least 3000 higher than your opponent's: You can pay LP equal to the difference; destroy face-up monsters your opponent controls whose combined ATK is less than or equal to the LP you paid to activate this effect. You can only use each effect of ""Dried Winds"" once per turn."
Drill Barnacle,This card can attack your opponent directly. Each time this card inflicts Battle Damage to your opponent by a direct attack: This card gains 1000 ATK.
Drill Bug,"When this card inflicts Battle Damage to your opponent's Life Points, you can select 1 ""Parasite Paracide"" card from your Deck, shuffle the Deck, and place ""Parasite Paracide"" on top of the Deck."
Drill Synchron,"If a Warrior-Type monster you control attacks a Defense Position monster, inflict piercing battle damage to your opponent. Once per turn, when you inflict battle damage to your opponent with this effect: You can draw 1 card."
Drill Warrior,"""Drill Synchron"" + 1 or more non-Tuner monsters.
Once per turn, during your Main Phase 1: You can halve this card's ATK, and if you do, it can attack your opponent directly this turn. Once per turn: You can discard 1 card, and if you do, banish this card. During your next Standby Phase: Special Summon this card banished by this effect, then add 1 monster from your Graveyard to your hand."
Drillago,"If the only cards your opponent controls are face-up monsters with 1600 or more ATK, this card can attack your opponent directly."
Drillroid,"Before damage calculation, if this card attacks a Defense Position monster: Destroy that monster."
